Dead angle;MSE
60;0.1105
80;0.1115
100;0.1076
120;0.0949
140;0.0784
160;0.0685
180;0.0471
200;0.0586
220;0.0351
240;0.0362
260;0.0331
280;0.0545
300;0.0463
320;0.042
340;0.0421
360;0.0403

Number of detectors;MSE
10;0.0484
20;0.0383
30;0.0316
40;0.0333
50;0.0258
60;0.026
70;0.026
80;0.0299
90;0.0389
100;0.0403
110;0.0298
120;0.0583
130;0.0565
140;0.0589
150;0.0584
160;0.0635
170;0.059
180;0.0709
190;0.0641
200;0.0729
210;0.0711
220;0.0709
230;0.0728
240;0.0712
250;0.0699

Delta alpha;MSE
2;0.0403
4;0.0215
6;0.0228
8;0.0232
10;0.0236
12;0.0235
14;0.0241
16;0.0238
18;0.0265
20;0.0264
22;0.0261
24;0.0273
26;0.03
28;0.0283
30;0.0292
32;0.0257
34;0.0292
36;0.0289
38;0.0288
40;0.03
42;0.0304
44;0.0264
