Dead angle;MSE
60;0.1147
80;0.1252
100;0.1297
120;0.1278
140;0.1143
160;0.0944
180;0.083
200;0.0709
220;0.0729
240;0.069
260;0.0665
280;0.066
300;0.0668
320;0.0737
340;0.0723
360;0.0725

Number of detectors;MSE
10;0.0996
20;0.0734
30;0.0688
40;0.0648
50;0.0734
60;0.079
70;0.0728
80;0.0741
90;0.0748
100;0.0725
110;0.0733
120;0.0738
130;0.0731
140;0.0746
150;0.0747
160;0.0746
170;0.0746
180;0.0747
190;0.0872
200;0.089
210;0.0891
220;0.0905
230;0.0893
240;0.0908
250;0.0898

Delta alpha;MSE
2;0.0725
4;0.0652
6;0.0646
8;0.0679
10;0.0697
12;0.0719
14;0.0727
16;0.0746
18;0.078
20;0.0806
22;0.0814
24;0.0839
26;0.0863
28;0.0869
30;0.0899
32;0.0888
34;0.0923
36;0.0927
38;0.0939
40;0.0971
42;0.0993
44;0.1021
